nom_officiel,adresse,code_postal,ville,region,departement,domaine_thematique,histoire,atout,interet,annee_creation,idmuseofile,payant,gratuit,total,individuel,scolaires,groupes_hors_scolaires,moins_18_ans_hors_scolaires,_18_25_ans
musée de La Poterie,2 rue de Kuhlendorf,67660,Betschdorf,Grand Est,Bas-Rhin,"Arts décoratifs,Technique et industrie,Ethnologie"," Fondé en 1981,"" le musée de la Poterie de Betschdorf est géré par l'Association des amis du musée. Il conserve des collections allant du XVIIe au XXe siècles"","" ainsi que des productions de potiers actuels. De nombreux dépôts ont été effectués par des musées strasbourgeois (musées alsacien et de l'OEuvre Notre-Dame).","""Riche collection de poteries de grès au sel"","" la couleur dominante étant le """"""gris et bleu"""""" typique de Betschdorf : poterie vernissée à Soufflenheim"","" poterie de grès de Betschdorf"","" anciens centres potiers d'Alsace et de Rhénanie.  Informations sur les techniques et les hommes : de véritables dynasties de potiers ont animé la scène et transmis leur savoir-faire jusqu'à nos jours""",Maison à pans de bois du début du XVIIIe siècle.,1981,M0002,2648,511,3159,2756,152,251,,
maison de l'archéologie des Vosges du Nord,44 avenue Foch,67110,Niederbronn-Les-Bains,Grand Est,Bas-Rhin,"Archéologie,Technique et industrie","Les collections sont constituées de fonds anciens et de dons (M. Malye,"" Mathis et Engleder)"","" d'achats (M. Wolff)"","" de fouilles anciennes (M. Erian"","" années 1970"","" et Schellmanns"","" années 1970 et 1980) et récentes (M. Prévost-Boure"","" années 1990) et de dépôts plus récents provenant des châteaux forts du Schoeneck et du Windstein.","Panorama complet des recherches archéologiques dans le nord de l'Alsace"","" de la préhistoire à l'archéologie industrielle.   Jadis renommé pour ses collections gallo-romaines qui proviennent de la cité thermale"","" le musée devient un haut lieu de l’archéologie médiévale grâce au travail des bénévoles qui"","" depuis plus de dix ans"","" relèvent le Schoeneck"","" un des nombreux châteaux-forts des Vosges du Nord"","" de ses ruines.  Une belle collection de poêles rappelle l’aventure industrielle des Dietrich"","" maîtres de forges.",Famille Dietrich.,,M0008,978,529,1507,804,571,132,648,
musée du Château des Rohan,place du général de Gaulle,67700,Saverne,Grand Est,Bas-Rhin,"Archéologie,Arts décoratifs,Beaux-arts,Histoire,Photographie,Sciences de la nature,Ethnologie","Le musée a été créé en 1858 pour abriter les vestiges archéologiques découverts dans les environs de Saverne. Des collections d'art et d'histoire ont été acquises par la suite. Entre 1952 et 1966 le musée a reçu plusieurs donations de tableaux du peintre Alfred Roll. En 1983, la journaliste Louise Weiss a légué ses collections au musée (peintures et dessins du XXe siècle, mobilier XIXe et XXe siècles, documents historiques, collections ethnographiques).","""Importante collection lapidaire gallo-romaine ", Peintures des XIXe et XXe siècles ,,M0012,6457,6071,12528,10292,1850,386,1807,
musée Alsacien,23 quai Saint-Nicolas,67000,Strasbourg,Grand Est,Bas-Rhin,"Arts décoratifs,Ethnologie,Histoire,Technique et industrie","En 1902 est fondée la Société du musée alsacien (SARL) qui bénéficia de nombreux dons de particuliers et effectua des achats dans les villages, acquisitions malheureusement non documentées. Le musée ouvre en 1907 avec des reconstitutions d'intérieurs. Durant la Première Guerre mondiale, il est mis sous séquestre, puis repris par la Ville.","""Comme la plupart des musées fondés il y a plus d'un siècle, le musée Alsacien a acquis essentiellement de beaux objets, décorés et en bon état. Il donne ainsi de l'Alsace la vision embellie d'une région uniformément cossue. La plupart des pièces constituant le fonds du musée proviennent du Bas-Rhin, département où l'industrialisation fut plus tardive. L'essentiel des collections date de la période que l'on pourrait qualifier d'""""""âge d'or"""""" du monde rural et de la culture traditionnelle, la période allant de 1750 à 1860 environ.  Deux grands thèmes sont représentés dans le musée, et ce depuis son origine : l'intérieur paysan et les croyances. Celles-ci constitue le point fort des collections. De nombreuses pièces sont consacrées aux trois religions présentes traditionnellement en Alsace (Catholicisme, Protestantisme et Judaïsme), mais également aux superstitions.  Les reconstitutions qui ponctuent le parcours de visite, dont la majorité remontent à la création du musée, participent pleinement du charme de la visite.""","""Charles Spindler (1865-1938) ",,M0014,40562,35696,76258,,0,0,,
musée archéologique,2 place du château,67000,Strasbourg,Grand Est,Bas-Rhin,Archéologie,"""Création en 1855 par la Société pour la conservation des Monuments historiques d'Alsace (SCMHA) ",  1870 : destruction complète lors de la Guerre franco-prussienne ," 1946 à 1981 : gestion par Jean-Jacques Hatt, directeur des Antiquités historiques d'Alsace et professeur à l'Université de Strasbourg : nombreuses fouilles à Strasbourg et sites romains régionaux et enrichissement important des collections gallo-romaines ",,M0015,13807,46097,59904,53763,5014,1127,,
musée historique,2 rue du vieux marché aux poissons,67000,Strasbourg,Grand Est,Bas-Rhin,"Archéologie,Arts décoratifs,Histoire,Militaria","En 1919, un appel est lancé auprès des Strasbourgeois et des achats sont effectués. De 1935 à 2018, les collections se sont enrichies grâce à des donations (principalement) et à des achats.","Logé depuis 1920 dans l'Ancienne Boucherie (1587), le musée a pour mission d'évoquer l'histoire du cadre urbain ainsi que l'histoire politique, économique et sociale de Strasbourg, au moyen de maquettes dont le plan - relief de 1725- 1727 (la ville est reproduite au 1/600e), d'un ensemble de peintures, de dessins, de gravures et de lithographies, d'une collection d'objets militaires (armes et uniformes de 1500 à 1945), d'objets très divers allant du chef-d'œuvre corporatif aux souvenirs de grands hommes, par exemple le général Kléber, ou de simples citoyens (costumes, mobilier, etc.) et de collections archéologiques allant du moyen âge au XVIIIe siècle.",,,M0020,28193,36868,65061,55423,7572,2066,2014,518
musée d'Unterlinden,place Unterlinden,68000,Colmar,Grand Est,Haut-Rhin,"Archéologie,Arts décoratifs,Art moderne et contemporain,Beaux-arts,Ethnologie,Histoire,Photographie","Louis Hugot (1805-1864), fondateur de la société Schongauer, installe la mosaïque romaine découverte à Bergheim dans le musée d'Unterlinden qui ouvre ses portes en 1853. A cette mosaïque s'ajoute le fonds du séquestre révolutionnaire (sculptures et peintures provenant des établissements religieux de la région avec notamment le retable d'Issenheim).","Art rhénan de la fin du Moyen Age et de la Renaissance, retable d'Issenheim. Salle d'archéologie. Arts décoratifs. Arts et traditions populaires. Art moderne.","Arts décoratifs : orfèvrerie, étain, céramique, mobilier",,M0028,140447,42620,183067,149348,10617,23102,10651,6615
musée Théodore Deck et des pays du Florival,1 rue du quatre février,68500,Guebwiller,Grand Est,Haut-Rhin,"Arts décoratifs,Histoire","Le Musée du Florival est créé par la Société d'histoire et du musée du Florival en 1933 et il est installé dans une partie des locaux de l'école de garçons de la ville haute (aujourd'hui, école Emile Storck). Lors de la Deuxième Guerre mondiale, le musée est fermé et les collections sont mises à l'abri. De 1950 à 1981 le musée prend place au premier étage du chœur de l'église des Dominicains. Depuis le 19 mai 1984, le musée se trouve dans l'ancienne maison du Grand Doyenné.  Les collections se sont constituées en premier lieu de documents d'histoire locale et de cinq céramiques de Théodore Deck. En parallèle des acquisitions liées à la collection historique locale, de 1953 à 1975, 34 faïences de Théodore Deck ont été acquises. La collection Deck s'est agrémentée au fil d'achats, mais également par une donation de plus de deux cents pièces en 2002 par le couple Bloch-Angly. Elle est également agrémentée du dépôt d'un particulier, depuis 2006, de 124 pièces signées Théodore Deck.","Le musée présente aujourd'hui sur deux niveaux une collection de céramiques de Théodore Deck, natif de Guebwiller, et qui termina sa carrière comme directeur de la Manufacture de Sèvres.  Le musée présente également des collections minéralogiques, archéologiques et lapidaires de la région de Guebwiller.  Un étage est dédié aux expositions temporaires.  Le dernier niveau présente Guebwiller au XIXe siècle autour de l'industrie et de la viticulture.",Beaux-Arts : Sculpture (du XVe au XIXe siècles),,M0029,3289,5877,9166,7946,404,816,376,125
musée Historique,place de la réunion,68100,Mulhouse,Grand Est,Haut-Rhin,"Archéologie,Ethnologie,Histoire","""La naissance du musée est liée aux premières fouilles archéologiques (1858) et aux destructions urbaines dues à la croissance industrielle. Frédéric Engel-Dollfus, vice-président de la Société Industrielle et grand collectionneur, pilote le projet de création du Musée historique. Une commission se met en place en 1864 pour solliciter la générosité des donateurs et inventorier la collection. Une convention est signée avec la Ville en 1872, puis les statuts du Musée sont adoptés l’année suivante. Enfin le Musée historique, installé provisoirement à l’Ecole de dessin, ouvre le 11 novembre 1874. Les collections se composent alors de 664 objets "," elles en comptent aujourd’hui plusieurs dizaines de milliers. En 1882, le musée est transféré dans un nouveau bâtiment construit par la Société Industrielle pour abriter l’ensemble des collections mulhousiennes (aujourd’hui Musée de l’Impression sur étoffes). En 1937, le musée est transféré Villa Steinbach (actuel Musée des Beaux-Arts), avant d'être installé en 1969 dans l’ancien hôtel de ville de Mulhouse. Entretemps deux dates méritent attention :  - en 1876 paraît le premier numéro du Bulletin du Musée Historique ","Archéologie nationale : Préhistoire, Protohistoire",,M0034,0,32119,32119,27381,2467,2271,,
Château de Bourdeilles,,24310,Bourdeilles,Nouvelle-Aquitaine,Dordogne,Beaux-Arts,Le château a été restauré jusqu'en 1972 par un couple de mécènes qui lèguent à la ville leur collection mobilière.,"Mobilier du XV- XIXe siècles. Objets d'art. Armes, sculptures.  Tapisseries et coffres du XVIe - XVIIe siècles. Prestigieuse collection mobilière de près de 700 éléments dont des tables, des crédences, des tapisseries, des fauteuils, des étains, etc. installée dans des salons d’apparat.","Les premières traces des châteaux de Bourdeilles remontent au XIIe siècle. L'ensemble comprend une forteresse médiévale du XIIIe siècle et son impressionnant donjon de 40 mètres de haut, et un élégant logis de la Renaissance.",,M0050,33299,3295,36594,6357,62,390,0,0
musée des arts et traditions populaires,2-6 rue Raoul Grassin,24400,Mussidan,Nouvelle-Aquitaine,Dordogne,"Archéologie,Arts décoratifs,Beaux-arts,Ethnologie,Histoire,Technique et industrie","Les collections du musée viennent d'une donation du docteur André Voulgre. Elles ont pour thème l'ethnographie régionale et sont principalement composées de mobiliers et d'objets domestiques. La vie agricole est représentée par plusieurs pièces et différents outils. Ceux du tonnelier voisinent avec le matériel traditionnel du forgeron, du maréchal-ferrant, du charron, du sabotier, du cordonnier, le potier, le chaisier.  Les Amis du musée ont agrandi le musée en aménageant une salle de préhistoire et une salle sur la faune et la flore.","Maison de maître, meublée, du XIXe siècle, salles d'exposition sur les activités quotidiennes d'autrefois, salles d'exposition sur les métiers d'autrefois, salles d'exposition sur la poterie paysanne de Beauronne, salles d'exposition sur les techniques et l'outillage agricoles, salle sur la préhistoire de la vallée de l'Isle.","Ethnologie : Costume, Habitat, Mobilier, Métiers et Outils, Pratiques religieuses et collectives",,M0054,1095,1308,2403,885,118,210,203,
musée militaire - souvenirs du Périgord,32 rue des Farges,24000,Périgueux,Nouvelle-Aquitaine,Dordogne,"Beaux-arts,Histoire,Photographie","La base des collections a été fournie par les apports des fondateurs (vétérans des guerres du Second Empire). Elles ont été complétées à la suite des deux guerres mondiales et des différents conflits contemporains, par des dépôts de l'Etat et par les dons des anciens combattants locaux. Des acquisitions ont également été réalisées afin d'améliorer certains thèmes.","Exceptionnelle collection d'armes, du Moyen-âge à la Résistance.  Plus de 8.000 pièces retraçant l'histoire militaire française et de la région.  Section Première Guerre mondiale, guerres coloniales, Résistance et Déportation.",,,M0056,2176,1270,3446,3113,209,124,,
CAPC-musée d'Art Contemporain,7 rue Ferrère,33000,Bordeaux,Nouvelle-Aquitaine,Gironde,Art moderne et contemporain,"""Le CAPC musée d'art contemporain de Bordeaux a été créé en 1983. La collection du CAPC musée d’art contemporain n’est pas née ex nihilo mais s’est façonnée, depuis la fin des années 1970, à partir et autour de l’histoire des expositions du CAPC... Les œuvres acquises mettent en perspective la vie du musée et répondent pour la majorité d’entre elles, à la singularité architecturale de l’Entrepôt. Monumentales ou radicales, ces œuvres d’artistes historiques ou émergents, ont nourri, ici à Bordeaux, les grands débats artistiques et sociétaux des dernières décennies. L’histoire des acquisitions révèle aussi un autre tropisme, la volonté de ne pas constituer un échantillonnage d’œuvres susceptibles de refléter les principales tendances de l’histoire de l’art de ces cinquante dernières années, mais de privilégier plutôt des ensembles monographiques d’œuvres remarquables résultant de liens privilégiés entre les artistes et le lieu. On notera globalement trois axes :  - des œuvres majeures de la fin des années 1960 et 1970 ", - un ensemble de peintures témoignant du retour à la figuration dans les années 1980 ,"Sol Lewitt, Richard Long, Mario Merz, Daniel Buren, Simon Hantaï, Claude Viallat, Jean-Charles Blais, François Boisrond, Robert Combas, Hervé Di Rosa, Enzo Cucchi, Miquel Barceló, José María Sicilia, Nan Goldin, Jack Pierson, Tony Oursler, Richard Long, Keith Haring, Niele Toroni, Max Neuhaus",,M0067,50931,89772,140703,91044,11046,10272,7923,2537
musée Edmond Rostand,route du docteur Camino,64250,Cambo-les-Bains,Nouvelle-Aquitaine,Pyrénées-Atlantiques,"Arts décoratifs,Beaux-arts,Littérature","Par délibération du Conseil municipal du 11 juillet 1958, la Ville de Cambo-Les-Bains décide de créer un musée Edmond Rostand. Installé à la Mairie, il est transféré en 1961 dans la Villa Arnaga où le poète vécut de 1906 à 1918, achetée par la municipalité.","Souvenirs personnels d'Edmond Rostand, habit d'académicien, décorations, son salon reconstitué, autographes, dessins exécutés par lui-même, peintures décoratives, portraits.","Archives papier, Manuscrits, incunables, Plans",,M0095,78350,6601,84951,65067,1316,10345,,
musée d'art Roger Quillot,place Louis Deteix,63100,Clermont-Ferrand,Auvergne-Rhône-Alpes,Puy-de-Dôme,"Arts décoratifs,Art moderne et contemporain,Beaux-arts","La construction du musée des beaux-arts visait à regrouper en un même lieu les collections de peinture, sculpture, mobilier et objets d'art de deux musées de la ville (Bargoin et Ranquet).  Les collections de beaux-arts sont formées dès 1830, par des dons et des dépôts de l’État.  Une politique d'achat vigoureuse, conjuguée aux dons, aux dépôts, aux legs, enrichit notablement les collections.","Plus de deux mille œuvres des différents domaines des beaux-arts : peinture, sculpture, mobilier, objets d'art, arts graphiques, photographie, sont exposées de façon synthétique au fil d'une présentation chronologique et pédagogique. C'est un musée conçu pour tous, petits et grands, à visiter en famille ou entre amis, à découvrir lors d'une visite au cœur de la capitale auvergnate, un parcours conduisant de l'art occidental médiéval à l'époque contemporaine.","Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture",,M0121,7142,19164,26306,,,,2187,
musée Lapidaire,place de l'abbaye,63200,Mozac,Auvergne-Rhône-Alpes,Puy-de-Dôme,Archéologie,Créé en 1950 ce dépôt lapidaire rassemble des fragments provenant de l'église actuelle ou d'édifices antérieurs à sa construction.,"A travers ces modillons à copeaux, chapiteaux à feuillages ou figurés et autres éléments décoratifs sculptés découverts aux abords du bâtiment et de ses dépendances, il est permis de mieux comprendre le travail des tailleurs de pierres du moyen âge et d'imaginer ce qu'était l'abbatiale à l'époque romane.",,,M0125,0,500,500,,,,,
musée municipal,château,63790,Murol,Auvergne-Rhône-Alpes,Puy-de-Dôme,Histoire,,"Animations. Le harnois (équipement de l'homme d'arme), la défense du château, l'accueil aux seigneurs, l'héraldique, la vie quotidienne de la mesnie, artisans et paysans. Le fief, les gardes, la table, l'investiture.","Culminant à 1.050 mètres, la forteresse de Murol, dotée d’une double enceinte concentrique est fondée au XIIe siècle. Situé au cœur d’une région fertile, prospère et fortement peuplée, il a pour vocation première le commandement de trois routes régionales importantes.   Aux XIIIe et XIVe siècles, les seigneurs de Murol jouissent d’une importante situation en Auvergne mais ils n’échappent pas à la crise qui secoue la France : la guerre de Cent Ans et les épidémies. Le château de Murol n’a jamais été pris par les Anglais, mais les raids de routiers et les ravages de la peste provoquent l’abandon de nombreux villages. C’est dans ce contexte que le château reprend de plus belle son rôle de protecteur de la population. Des travaux sont accomplis pour son renforcement dans les années 1390 par Guillaume II de Murol. Entre le XVe et le début du XVIIe siècle, la forteresse, propriété de la famille d’Estaing, continue à s’adapter aux différentes évolutions militaires. Épargné par la politique de désarmement de Richelieu puis par la Révolution française, le château perd peu à peu toute fonction résidentielle, devenant successivement une prison, un repaire de brigands et enfin une carrière de pierres. En 1890, son dernier propriétaire, Henri-Guillaume de Chabrol, le donne au département du Puy-de-Dôme qui le cède en 1953 à la commune de Murol, toujours propriétaire.",,M0126,3966,1652,5618,5208,178,232,406,81
musée régional d'Auvergne,10 bis rue Delille,63200,Riom,Auvergne-Rhône-Alpes,Puy-de-Dôme,Ethnologie,"Inauguré en 1969, ce musée qui a conservé sa présentation d'origine est un des derniers à témoigner aujourd'hui de ce qu'avaient imaginé, dans une France en pleine mutation, les historiens, muséographes et ethnologues des années 1930-1940. Il a pour modèle le musée national des Arts et Traditions Populaires fondé par l'un des pères de l'ethnographie française, Georges-Henri Rivière. « Conserver pour transmettre », telle est l'idée retenue par les fondateurs du musée régional d'Auvergne et au premier rang Pierre Sabatier, qui mirent plus de dix ans pour réunir les pièces qui constituent aujourd'hui ses collections. Une présentation volontairement dépouillée met en valeur des objets choisis pour leur rôle évocateur de savoir-faire et de modes de vie aujourd'hui souvent disparus plutôt que pour leur qualité esthétique, cependant réelle.","La vie agricole occupe ici une large place, travaux des champs, élevage, apiculture, chasse, pêche, viticulture ainsi que différentes formes d'artisanat, féminin ou masculin, fabrication de dentelle ou de chapelets, filage, tissage, taille de la pierre, poterie, vannerie. La salle commune d'une maison de l'est du département donne un exemple de l'habitat auvergnat d'autrefois, mobilier, vaisselle, luminaire, objets de la vie quotidienne évoquent la vie domestique. Naissance, mariage, veuvage, ainsi que jeux, musiques et fêtes - dont celle du saint patron de Riom, saint Amable - évoquent les différents moments de la vie. Le musée s'enorgueillit d'une importante collection de costumes, coiffes et bijoux des différents secteurs d'Auvergne ainsi que d'un fonds important de sculptures religieuses en bois polychrome.","Ancien hôtel particulier du XVIIIe siècle, réaménagé aux XIXe et XXe siècles.",,M0128,2270,0,2270,0,,,,
musée Marcel-Sahut,2 rue des écoles,63530,Volvic,Auvergne-Rhône-Alpes,Puy-de-Dôme,"Arts décoratifs,Art moderne et contemporain,Beaux-arts,Ethnologie,Afrique,Asie","Le peintre Marcel Sahut (1901-1990),-fils et petit-fils de tailleurs de pierre volvicois-, et sa femme Yvonne donnent en 1985 leurs collections personnelles à la commune de Volvic, ainsi qu'une grande partie de l'oeuvre de l'artiste. Le musée est inauguré le 30 mars 1988. Destiné à promouvoir l'oeuvre du peintre, le musée Marcel-Sahut se tourne également, et progressivement, vers les arts de la pierre, notamment ceux de la pierre de Volvic. Le musée est installé dans la demeure d'une ancienne et noble famille auvergnate, le «château de Bosredon» (XVIIIe siècle, inscrit MH), un écrin patrimonial tout en pierre de Volvic.","""Oeuvres de Marcel Sahut : peintures, gravures et dessins "," peintures, gravures et dessins du XIXe : Gustave Doré, Gauguin, Manet, Millet, Ravier, Rodin, Whistler… ",,M0130,1111,1113,2224,,0,0,,
musée archéologique,5 rue docteur Maret,21000,Dijon,Bourgogne-Franche-Comté,Côte-d'Or,"Archéologie,Histoire","Une origine dans les sociétés savantes : l'histoire des collections du Musée archéologique de Dijon trouve son origine dès la fin du XVIIIe siècle dans la volonté d'érudits et de sociétés savantes telles que l'Académie de Dijon ou encore la Commission des Antiquités de la Côte-d'Or (CACO), créée en 1831. Cette dernière avait pour but notamment de conduire des opérations archéologiques, de préserver les Monuments historiques ainsi que de publier et de conserver le mobilier découvert de sites majeurs tels qu'Alésia, Vertault ou Les Bolards (Nuits-Saint-Georges). Le nouveau « musée des Antiquités » : en 1832, le musée de la CACO est installé dans l'ancien hôtel Rolin (actuelles archives départementales). Il présente essentiellement les éléments sculptés issus du castrum antique ou de monuments dijonnais détruits (Saint-Bénigne, Sainte-Chapelle...). Puis, sous le Second Empire, le « musée des Antiquités », enrichi notamment des fouilles du sanctuaire des Sources de la Seine, occupe plusieurs salles du Palais des États, avoisinant le musée municipal de peintures et de sculptures (actuel Musée des beaux-arts). Un musée au sein de l'abbaye Saint-Bénigne : c'est en 1934 que le destin de ces collections et celui de l'abbaye Saint-Bénigne se mêlent par l'installation du musée dans le dortoir des Bénédictins, seul vestige des bâtiments conventuels. Sous l'égide de ses conservateurs successifs, le musée est municipalisé en 1955 et, fort de ses enrichissements issus d'opérations archéologiques récentes et d’acquisitions, se déploie progressivement dans les différents niveaux du bâtiment. Par le biais de sites majeurs, le Musée archéologique présente aujourd'hui les témoignages matériels des cultures qui se sont succédé sur le territoire de la Côte-d'Or, et plus largement de la Bourgogne, depuis la préhistoire jusqu'au moyen âge.","Passé de l'Homme en Côte-d'Or, de la préhistoire au moyen âge, avec les sites incontournables de la région : Dijon, Alesia, Les Bolards, les Sources de la Seine, Vertault, Mâlain : ex-voto du sanctuaire gallo-romain des sources de la Seine. Voûtes gothiques accueillant les sculptures d'époque romane et gothique. Trésor de Blanot. Vie quotidienne à l'époque gallo-romaine. Introduction à l'époque mérovingienne.","Histoire : Histoire religieuse (Histoire du site de l'abbaye)""",,M0138,0,22265,22265,18461,3377,427,,
musée de la vie bourguignonne,17 rue Sainte-Anne,21000,Dijon,Bourgogne-Franche-Comté,Côte-d'Or,Ethnologie,"""Le musée présente un patrimoine ethnographique rural collecté à la fin du XIXe siècle : mobilier, équipement domestique, costumes régionaux ainsi qu'un patrimoine ethnographique urbain (anciens commerces dijonnais naguère installés dans les rues de Dijon, affiches, qui enluminaient jadis les murs de la cité vantant les industries d'hier et les spécialités d'aujourd'hui...). Dès 1870, le fondateur du musée, Maurice Perrin de Puycousin, démarre ses collectes dans le Tournugeois, la Bresse et le Mâconnais.  En 1935, une collection de 1.914 objets est donnée à la Ville de Dijon """"""en vue de créer un musée d'ethnographie régionale"""""". Celui-ci sera inauguré en 1938. A la mort de Perrin de Puycousin, en 1949, le musée est rattaché au musée des Beaux-Arts de Dijon. En raison de l'état de détérioration des collections, le musée Perrin de Puycousin ferme en 1970. En 1980, le cloître est affecté au musée de la Vie Bourguignonne Perrin de Puycousin. Fermée pour travaux en 1991, la galerie ouvre en 1992 avec une nouvelle signalétique signée Catherine Aymard : guider le regard du visiteur en donnant à voir les mots et les gestes des objets au quotidien. Les années 1994 et 1995 voient s'ouvrir le premier et le second étage du musée de la Vie Bourguignonne Perrin de Puycousin.""","Le musée présente une collection d'ethnographie rurale (costumes, mobilier...) et urbaine (vie quotidienne à Dijon du XVIIIe au début du XXe siècles).  Les métiers de la pierre, de la terre et du bois évoqués au 2e étage, offrent des matériaux qui participent à l'image de la région.",,,M0139,0,36364,36364,29792,5705,867,,
musée François Pompon,3 place du docteur Roclore,21210,Saulieu,Bourgogne-Franche-Comté,Côte-d'Or,"Archéologie,Beaux-Arts,Ethnologie,Histoire","Le musée a été créé en 1930 à partir d'objets ethnographiques (ancienne forge, matériel agricole et objets d'artisanat du Morvan), puis complété en 1933 à la mort du sculpteur François Pompon, d’œuvres de l'artiste. Complément de collections de minéralogie déposées par les amateurs. Dépôts des églises Saint-Saturnin (blason et heaume, pierre XVIIe siècle) et Saint-Andoche (stalles en bois de la basilique).","Salle d'art sacré contenant une vierge romane à l'enfant, un Christ en bois du XIIe siècle, les vestiges de l'ancien portail de la basilique (sculptures des XVIIe, XVIIIe et XIXe siècles). Salle archéologique avec des stèles funéraires gallo-romaines de la nécropole Sedolocum et des ex-votos gaulois (trouvés dans une fontaine). Chartes du XIIIe siècle. Evangéliaire dit de Charlemagne. Salle consacrée au sculpteur animalier François Pompon (1855 - 1933) , originaire de Saulieu. Expositions d’œuvres uniques et locales, la Tête de l'ours, la Cosette, le Curé de Saulieu, le Sanglier et la Taupe.","Art moderne et contemporain (salle d'expos temporaires, art d'avant-garde)",,M0146,4766,3669,8435,7797,264,374,814,
musée du Costume,6 rue du château,58120,Château-Chinon,Bourgogne-Franche-Comté,Nièvre,"Beaux-Arts,Ethnologie","Le musée est inauguré en 1992. L'origine des collections remonte à 1943 avec le legs Blazini. Puis, en 1970, Jules Dardy léguait une grande partie de sa collection à la commune de Château-Chinon contre une rente annuelle. Depuis d'autres acquisitions ainsi que des dons de particuliers sont venus enrichir les collections. Les musées du Septennat et du Costume sont fermés depuis le 1er septembre 2019. Ils réouvriront sous la forme d’une Cité Muséale. Au-delà d’être un espace culturel, l’ambition de la Cité Muséale est de devenir un outil d’aide à l’inclusion sociale et citoyenne de référence régionale et nationale. Cet outil comptera deux musées, une salle d’exposition temporaire, un espace de conférences, une salle de médiation, des jardins avec un espace d’exposition en plein l’air. La pose de la première pierre a eu lieu le 19 octobre 2020. La durée des travaux est fixée à 24 mois et une lettre d’information liée à l’activité du chantier a été créée afin d’informer la population de Château-Chinon Ville et Château-Chinon Campagne de l’évolution des travaux et de leurs impacts quotidiens sur la vie des habitants riverains du chantier. Pendant la durée des travaux, un chantier important d’inventaire, de nettoyage, de restauration et d’enrichissement muséographique est mené par l’équipe de conservation des musées du Conseil Départemental, en lien avec la Direction Régionale des Affaires Culturelles Bourgogne Franche-Comté et le Ministère de la Culture.","""Important ensemble de costumes riche de quelque 5.000 pièces permettant de présenter diverses évolutions de la mode française entre la fin du XVIIIe siècle et le milieu du XXe siècles. Il est intéressant de préciser que les costumes conservés ont appartenu à des personnes issues de toutes les classes de la société, rurales ou citadines, aristocrates et bourgeois, ainsi qu'à des """"""gens du peuple"""""" sous l' Ancien Régime et la Révolution.""","Collections militaires""",,M0148,0,584,584,239,65,280,0,0
musée Lapidaire Saint-Nicolas,10 rue Saint-Nicolas,71400,Autun,Bourgogne-Franche-Comté,Saône-et-Loire,Archéologie,"Collections rassemblées par la Société éduenne des lettres, sciences et arts, de 1836 à 1954. Dons et découvertes archéologiques depuis. Statuaire monumentale et éléments d'architecture de l'Antiquité au XIXe siècle.",Chapiteaux gallo-romains.  Stèles funéraires gallo-romaines. Dalles funéraires médiévales. Musée-jardin.,,,M0160,600,400,1000,1000,0,0,,
