nom_officiel,adresse,code_postal,ville,region,departement,domaine_thematique,histoire,atout,interet,annee_creation,idmuseofile,payant,gratuit,total,individuel,scolaires,groupes_hors_scolaires,moins_18_ans_hors_scolaires,_18_25_ans
Ferme-musée du Cotentin,1 rue de Beauvais,50480,Sainte-Mère-Eglise,Normandie,Manche," musée en milieu rural""","Ethnologie,Histoire","""Les collections sont constituées dès la création du musée, à la fin des années 1970, et sont rapidement enrichies autour des thématiques agricole et rurale au sens très large (artisanat, ATP, objets anciens en tous genres…). Les donateurs ou les vendeurs sont en général d’anciens agriculteurs ou leurs héritiers. Les acquisitions sont effectuées, sans doute dans un secteur géographique réduit et souvent par voie orale, ne laissant parfois aucune trace des anciennes appartenances. De plus, des lots importants en nombre de pièces et volume, sont acceptés sans que leur contenu ne soit trié. Un tiers des collections environ relève de l’ancien fonds car les donateurs ou vendeurs sont inconnus. Les collections témoignent des activités agricoles et de la vie rurale normande du XIXe siècle à aujourd’hui (de la fin du XIXe à la 1ère moitié du XXe siècle pour l’essentiel). Elles sont réparties en plusieurs catégories thématiques : - les travaux agricoles (céréaliculture, fenaison, élevage laitier…) ", - des véhicules (à traction animale ou motorisés) ,,M1190,8248,3067,11315,8711,2299,305,,
Fondation Vasarély,"1, Avenue Marcel Pagnol",13096,Aix-en-Provence,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Art moderne et contemporain,"""En 1971, lorsque Félix Ciccolini débute son second mandat de maire d’Aix-en-Provence, il doit administrer une ville en pleine mutation. Aix-en-Provence tire alors profit de l’installation de nouveaux établissements d’enseignement supérieur, du développement industriel que connaît le Sud-Est de la France (création du pôle pétrochimique de l’étang de Berre, du centre d’études nucléaires de Cadarache). De plus, depuis les années 1950, la cité bénéficie des effets du développement d’un tourisme de masse. Elle multiplie les animations estivales, telles que le Festival de musique lyrique (créé en 1948). Aix-en-Provence, qui se présente comme une ville d’art et de musées, est alors dotée de sept musées, soit un musée pour 25.000 habitants quand Paris en compte 1 pour 31.700 habitants "," leur fréquentation est en augmentation, en grande part du fait du tourisme culturel. Au début des années 1970, Aix-en-Provence est donc une des villes les plus dynamiques de l’espace français. La population a presque triplé en trente ans, passant de 54.000 habitants en 1954 à 137.000 en 1982. Toute la “cuvette” où est construite Aix-en-Provence est désormais investie ","Victor Vasarely (1906 - 1997), créateur de l'Op art (art optique).",,M1215,61347,6785,68132,58125,7868,2139,8014,
musée Daubigny,Manoir des Colombières,95430,Auvers-sur-Oise,Ile-de-France,Val-d'Oise,Beaux-arts,"La section initiale du musée s'est constituée à partir de donations des familles Raskin-Daubigny, Desboutin et Goeneutte.  - La donation Raskin-Daubigny date de 1987. Elle compte essentiellement des dessins et œuvres gravées de Charles François Daubigny (1817-1878) et de son fils Karl Daubigny (1846-1886). Elle compte plus de 110 numéros d'inventaire, dont un certain nombre d'objets ayant appartenu au peintre (sa palette, son béret, les rames du Botin, ses outils de graveur, des distinctions...). Les peintures ont été acquises ensuite, par l'Association du musée Daubigny. - La donation Desboutin date de 1983. Elle compte 10 eaux-fortes et pointes sèches du graveur Marcellin Desboutin (1823-1902), membre de la Société des aquafortistes créée en 1862 qui participe, avec Daubigny, au mouvement de défense de l’eau-forte originale.  - La donation Goeneutte date de 1983. Elle rassemble dix œuvres du peintre et graveur Norbert Goeneutte (1854-1894), ami de Daubigny, qui fréquente Auvers-sur-Oise dès 1861.   S’ajoutent aux dons les acquisitions fortement orientées vers l’œuvre de peintres contemporains amis ou élèves de Charles François et Karl Daubigny qui ont vécu ou séjourné dans la région : Edmond Marie Petitjean (1844-1925), Maurice Dainville (1856-1943), Honoré Daumier (1808-1879), Léonide Bourges (1838-1909), Eugène Cicéri (1813-1890), Jules Dupré (1811-1889), Fernand Quignon (1854-1941).","""La section fondatrice du musée témoigne majoritairement du passage d'artistes à Auvers-sur-Oise ou aux alentours ",,,M1213,9076,4421,13497,10973,2050,474,,
musée de la chartreuse,4 cour des Chartreux,67120,Molsheim,Grand Est,Bas-Rhin,"Archéologie,Histoire","Le musée est fondé en 1948, à la suite de l'acquisition par la ville d'une collection d'objets d'art provenant de la succession du chanoine Müller.",Collections archéologiques provenant des fouilles des sites préhistoriques et protohistoriques d'Achenheim et de Dachstein et du site gallo-romain de Heiligenberg (céramique sigillée).  Collections historiques des différents ordres religieux implantés dans la ville.  Objets ethnographiques.,"Histoire : Histoire religieuse""",,M0006,10461,1000,11461,10412,429,620,,
musée historique et industriel - musée du fer,9 rue Jeanne d'Arc,67110,Reichshoffen,Grand Est,Bas-Rhin,"Archéologie,Histoire,Technique et industrie","Constitué à partir d'une collection d'archéologie locale, le musée s'est spécialisé, avec l'aide de la direction régionale des affaires culturelles (DRAC), dans l'évocation de l'industrie du fer, principalement autour de l'activité de l'entreprise de Dietrich.","La métallurgie dans les Vosges du Nord s'est développée à partir du XVIIe siècle en raison de la présence combinée de minerai de fer, de castine utilisée comme fondant dans les hauts-fourneaux, de forêts pour l'alimentation en charbon de bois et de rivières pour la force motrice.  Trois siècles de l'histoire des de Dietrich, maîtres de forges, de la fabrication du wagon trappe à celle des automotrices du TGV. Les poêles en fontes richement ornés produit par de Dietrich sont également à découvrir. En plus du thème central portant sur le fer, le musée évoque les grands moments de la cité au travers d'objets en provenance de fouilles archéologiques, de documents, de sceaux, de maquettes des deux châteaux.",Famille de Dietrich,,M0011,395,524,919,398,0,0,,
musée des Beaux-Arts,2 place du château,67000,Strasbourg,Grand Est,Bas-Rhin,Beaux-arts,"Créé par l'arrêté consulaire du 1er septembre 1801, le musée fut anéanti par les bombardements du 24 août 1870. Les collections furent reconstituées entre 1889 et 1914 par W. Bode, directeur des musées de Berlin. Il est installé au premier étage du palais Rohan depuis 1899.","""Panorama de l'histoire de la peinture en Europe de ses débuts à 1870 : Primitifs italiens et flamands, Renaissance et Maniérisme, Baroque, Naturalisme et Classicisme aux XVIIe et XVIIIe siècles (""""""La Belle Strasbourgeoise"""""" de Largillière), XIXe siècle.  Les réserves visitables du musée sont ouvertes au public le premier samedi de chaque mois.""","Palais Rohan, construit de 1739 à 1742 par Robert de Cotte pour le cardinal Armand Gaston de Rohan-Soubise. De style classique, le palais est édifié selon l'ordonnance habituelle de l'hôtel parisien entre cour et jardin.",,M0019,29685,53994,83679,,0,0,,
musée Westercamp,1-3 rue du musée,67160,Wissembourg,Grand Est,Bas-Rhin,"Archéologie,Ethnologie,Histoire","Créé et inauguré en 1913, le musée possède des collections données et léguées par les fondateurs, enrichies au fil des années par des dons individuels et par des achats, telle la collection de lithographies wissembourgoises Wentzel et succ. en 1991, comportant 600 pièces.","""Une petite section archéologique présente stèles romaines et objets de la vie quotidienne.  Le Moyen Age est illustré par des sculptures et divers éléments d'architecture.  Le passé militaire est présent également : plans des """"""lignes de défense de la Lauter"""""", uniformes du Second Empire, collections d'armes blanches et d'armes à feu, souvenirs du 87e Régiment d'infanterie.  La vie quotidienne, l'imagerie populaire (Wentzel) font l'objet d'une section avec un ensemble de mobilier et de costumes en usage dans la région du XVIIIe au début du XIXe siècles.""",Beaux-Arts : Peinture,,M0022,697,855,1552,1279,225,48,,
musée Paysan,10 rue principale,68480,Oltingue,Grand Est,Haut-Rhin,"Archéologie,Ethnologie","La collection a été rassemblée par l'abbé Etienne Bilger, curé à Oltingue de 1958 à 1976. Une association a été créée en 1972, avec le soutien de la chambre d'agriculture du Haut-Rhin, et le bâtiment fut acquis l'année suivante. En 1976, la collection fut léguée par l'abbé au musée historique de Mulhouse, lequel en assure la gestion depuis cette date.","Souvenir d'une population rurale du Sundgau (Haut-Rhin) au XIXe et début du XXe siècles, ses activités, ses coutumes, ses traditions et sa foi. Dans la grande pièce du rez-de-chaussée, qui est chauffée par un « Kachelofen », diverses vitrines présentent des objets courants : lampes à huile et à pétrole, serrures, objets pieux, pièces d'habillement.  La cuisine et l'arrière-cuisine montrent les ustensiles et les outils nécessaires pour la préparation de la nourriture et pour laver le linge. Par ailleurs on trouve d'autres méthodes de chauffage, différents carreaux de faïence, des ustensiles divers pour la cuisine, une chambre à coucher typique, un mur en torchis brut et divers autres objets.  A l'extérieur les ateliers du forgeron, du charron et du sellier bourrelier, trois corps de métier présents dans presque tous les villages, terminent la visite.",,,M0041,224,128,352,0,0,0,0,0
musée du papier peint,28 rue Zuber,68170,Rixheim,Grand Est,Haut-Rhin,"Arts décoratifs,Technique et industrie,archéologie du bâti,musée de société","""La présence de l’industrie du papier peint à Rixheim commence avec l’installation en 1797 de la manufacture Hartmann Risler & Cie, plus tard manufacture Zuber & Cie (toujours active) dans l’ancienne Commanderie de l’Ordre teutonique. Le Musée du papier peint, ouvert en 1983, conserve les collections de la manufacture ainsi que des ensembles provenant de l’ancien Musée Industriel de Mulhouse,  auxquels se sont ajoutés depuis de nombreux achats et dons. Le musée a une triple mission : - conserver et restaurer les témoignages du passé et du présent pour devenir la mémoire du papier peint ","  - présenter au public ces documents, en particulier sous forme d'expositions thématiques régulièrement renouvelées ",dessin industriel,,M0044,6300,2198,8498,0,0,197,508,
écomusée d’Alsace,BP 71,68190,Ungersheim,Grand Est,Haut-Rhin,"Archéologie,Ethnologie,Histoire,Photographie,Sciences de la nature,Technique et industrie","L'Ecomusée d'Alsace a été fondé en 1980 par l'association « Maisons paysannes d'Alsace », qui a réuni bâtiments et objets voués à la destruction, qu'elle avait collectés à partir de 1972 au travers de son réseau de bénévoles. Dans la première phase de création et d'installation, l'action des bénévoles a été fortement soutenue par le Département du Haut-Rhin et la Région Alsace, et a permis l'ouverture au public en 1984. Le succès a amené l'association à confier les activités liées au développement touristique à une filiale au sein de laquelle elle a pu s'adjoindre le concours d'entreprises régionales qui ont permis de mener à bien une seconde phase de développement. Parallèlement, les collectivités ont poursuivi leur soutien à l'action de conservation de patrimoine via l'« Association Propriétaire pour l'Ecomusée » constituée en 1991 et à laquelle « Maisons paysannes d'Alsace » a fait apport de tout son patrimoine immobilier en même temps que l'« Association pour la mise en valeur du carreau Rodolphe », attenant au site du village. Afin de faire face à une nouvelle phase de développement rendue possible par l'engagement des collectivités, notamment du Département du Haut-Rhin, il est apparu nécessaire en 2003 de regrouper les moyens et les ressources des associations « Association propriétaire pour l'Ecomusée » et « Maisons paysannes d'Alsace ».","L'écomusée est installé sur 45 hectares. Activités artisanales, agricoles, vie domestique. Implantation de sites industriels et de loisirs (art forain).","Archives papier, Archives sonores, Fonds ancien d'imprimés, Image animée, Photographie, Plans",,M0048,171807,16229,188036,,0,0,,
